"","x_location","y_location"
"AC020922.2",-2648.41356993605,-424.671781494555
"AC021106.1",1144.58643006395,-1444.67178149456
"AC022167.2",-1303.41356993605,489.328218505445
"AC022816.1",-2164.41356993605,971.328218505445
"AC022916.2",-2904.41356993605,-637.671781494555
"AC022966.1",-839.413569936049,2437.32821850544
"AC023157.3",3219.58643006395,2503.32821850544
"AC023202.1",-2498.41356993605,689.328218505445
"AC023906.5",596.586430063951,5962.32821850544
"AC024940.2",-2521.41356993605,-1661.67178149456
"AC025048.4",-1898.41356993605,3940.32821850544
"AC025171.1",105.586430063951,-1132.67178149456
"AC025171.2",-176.413569936049,-1539.67178149456
"AC025423.4",-1385.41356993605,2387.32821850544
"AC025580.2",-2488.41356993605,2114.32821850544
"AC025682.2",-3842.41356993605,1342.32821850544
"AC026310.2",-1362.41356993605,3101.32821850544
"AC026401.3",-3861.41356993605,1080.32821850544
"AC026412.1",-158.413569936049,-1361.67178149456
"AC026471.1",-2690.41356993605,2756.32821850544
"AC034199.1",-1921.41356993605,929.328218505445
"AC034236.1",-9593.41356993605,3933.32821850544
"AC037198.1",1706.58643006395,3480.32821850544
"AC040160.1",4385.58643006395,1556.32821850544
"AC040162.1",-2103.41356993605,-396.671781494555
"AC046185.3",2946.58643006395,155.328218505445
"AC048341.1",-2072.41356993605,2735.32821850544
"AC048341.2",-2267.41356993605,1169.32821850544
"AC051619.6",-2968.41356993605,-360.671781494555
"AC051619.7",-2737.41356993605,1049.32821850544
"AC060766.1",149.586430063951,-3510.67178149456
"AC060780.1",1639.58643006395,326.328218505445
"AC061992.2",-2854.41356993605,907.328218505445
"AC066616.2",-1797.41356993605,1469.32821850544
"AC067945.1",-2182.41356993605,-2320.67178149456
"AC069209.1",-2253.41356993605,3165.32821850544
"AC069368.2",-1766.41356993605,3696.32821850544
"AC072022.2",-1286.41356993605,3914.32821850544
"AC073111.4",-2510.41356993605,-2009.67178149456
"AC073957.3",-4270.41356993605,-596.671781494555
"AC078785.1",-955.413569936049,1204.32821850544
"AC079209.1",-1366.41356993605,1325.32821850544
"AC079250.1",-8005.41356993605,4042.32821850544
"AC079305.4",786.586430063951,3353.32821850544
"AC079753.1",-1963.41356993605,1757.32821850544
"AC080023.1",-3085.41356993605,1598.32821850544
"AC083837.1",-2643.41356993605,941.328218505445
"AC083843.3",2590.58643006395,756.328218505445
"AC083855.2",-1034.41356993605,1901.32821850544
"AC083862.2",-2372.41356993605,-2029.67178149456
"AC084018.2",-1671.41356993605,269.328218505445
"AC084082.1",-2708.41356993605,797.328218505445
"AC084871.1",-1779.41356993605,1739.32821850544
"AC087645.2",-2460.41356993605,1601.32821850544
"AC087741.1",2067.58643006395,-116.671781494555
"AC090204.1",2567.58643006395,-1500.67178149456
"AC090559.1",2448.58643006395,-3272.67178149456
"AC091133.1",-2849.41356993605,-601.671781494555
"AC091182.1",-107.413569936049,3186.32821850544
"AC091230.1",2630.58643006395,974.328218505445
"AC092171.4",5110.58643006395,-782.671781494555
"AC092279.2",630.586430063951,-3345.67178149456
"AC092835.1",3278.58643006395,-562.671781494555
"AC093012.1",73.5864300639514,-1382.67178149456
"AC093227.1",3039.58643006395,-2989.67178149456
"AC093323.1",4102.58643006395,-522.671781494555
"AC093330.2",3357.58643006395,-2218.67178149456
"AC093425.1",-2174.41356993605,4173.32821850544
"AC093503.2",-1383.41356993605,1181.32821850544
"AC093583.1",-1741.41356993605,2861.32821850544
"AC093627.4",3200.58643006395,-2921.67178149456
"AC093627.5",3402.58643006395,1030.32821850544
"AC093673.1",1483.58643006395,-168.671781494555
"AC096667.1",4567.58643006395,900.328218505445
"AC096921.2",1836.58643006395,-1898.67178149456
"AC096992.2",1100.58643006395,-1048.67178149456
"AC099343.4",-2173.41356993605,95.328218505445
"AC099489.1",-3025.41356993605,2234.32821850544
"AC099552.1",-2340.41356993605,2690.32821850544
"AC099804.1",-3123.41356993605,-1510.67178149456
"AC100786.1",-833.413569936049,-1792.67178149456
"AC103591.3",-3330.41356993605,2714.32821850544
"AC104447.1",1550.58643006395,169.328218505445
"AC104530.1",2652.58643006395,-1392.67178149456
"AC104619.3",-7821.41356993605,3294.32821850544
"AC104695.4",-3488.41356993605,950.328218505445
"AC106795.1",2844.58643006395,-2980.67178149456
"AC106865.1",-874.413569936049,3907.32821850544
"AC107029.1",-3101.41356993605,1098.32821850544
"AC107068.1",2621.58643006395,137.328218505445
"AC107959.1",-2911.41356993605,-2141.67178149456
"AC108134.2",-3051.41356993605,-453.671781494555
"AC108134.3",1999.58643006395,-3088.67178149456
"AC109326.1",-4189.41356993605,3286.32821850544
"AC110285.2",1242.58643006395,-3310.67178149456
"AC110611.2",-1430.41356993605,-218.671781494555
"AC116347.1",-2077.41356993605,-1188.67178149456
"AC116353.6",2222.58643006395,-1196.67178149456
"AC116407.2",-3025.41356993605,-1482.67178149456
"AC116667.1",2426.58643006395,-3663.67178149456
"AC118344.4",1832.58643006395,-106.671781494555
"AC118549.1",-49.4135699360486,2934.32821850544
"AC119396.1",1331.58643006395,-3129.67178149456
"AC119673.3",-3264.41356993605,-1733.67178149456
"AC120193.1",-2412.41356993605,1817.32821850544
"AC124319.3",-1350.41356993605,-1072.67178149456
"AC124798.1",-962.413569936049,1376.32821850544
"AC126474.2",2603.58643006395,-2772.67178149456
"AC127502.2",-1625.41356993605,-3833.67178149456
"AC132008.2",1880.58643006395,514.328218505445
"AC135782.3",4103.58643006395,-3210.67178149456
"AC135983.3",-2846.41356993605,-1919.67178149456
"AC138207.4",3195.58643006395,-1599.67178149456
"AC138207.9",2480.58643006395,-852.671781494555
"AC138393.1",3609.58643006395,-1642.67178149456
"AC138409.2",1104.58643006395,-4970.67178149456
"AC139495.2",1060.58643006395,-1444.67178149456
"AC147651.4",-1434.41356993605,3317.32821850544
"AC240274.1",2815.58643006395,-343.671781494555
"AC243829.1",-1574.41356993605,3839.32821850544
"AC244034.3",-2500.41356993605,1391.32821850544
"AC245297.4",-1356.41356993605,-386.671781494555
"AC245884.11",-1669.41356993605,98.328218505445
"AC245884.12",-3053.41356993605,-983.671781494555
"ACAA1",1903.58643006395,-3480.67178149456
"ACAA2",1822.58643006395,-2402.67178149456
"ACACB",2016.58643006395,-3992.67178149456
"ACAD8",2858.58643006395,358.328218505445
"ACADS",1412.58643006395,-2470.67178149456
"ACADSB",1599.58643006395,-1984.67178149456
"ACAP1",1060.58643006395,-2250.67178149456
"ACAP2",1702.58643006395,-1124.67178149456
"ACAP3",2770.58643006395,-1032.67178149456
"ACAT2",-1634.41356993605,2441.32821850544
"ACBD4",-554.413569936049,-2564.67178149456
"ACBD6",2865.58643006395,394.328218505445
"ACCS",-581.413569936049,-2480.67178149456
"ACER3",1515.58643006395,-0.671781494555034
"ACHE",-1503.41356993605,363.328218505445
"ACO1",-3077.41356993605,2127.32821850544
"ACOD1",-2218.41356993605,1313.32821850544
"ACOT11",4556.58643006395,377.328218505445
"ACOT13",2934.58643006395,870.328218505445
"ACOT9",-2107.41356993605,-12.671781494555
"ACOX3",-2330.41356993605,3435.32821850544
"ACP2",-3391.41356993605,1979.32821850544
"ACP5",1928.58643006395,-1124.67178149456
"ACP6",1672.58643006395,-4104.67178149456
"ACPP",-952.413569936049,-1970.67178149456
"ACRBP",-931.413569936049,-3111.67178149456
"ACSF2",1459.58643006395,-1516.67178149456
"ACSF3",3090.58643006395,-950.671781494555
"ACSL1",-1493.41356993605,947.328218505445
"ACSL4",-2242.41356993605,1799.32821850544
"ACSL5",-1063.41356993605,1829.32821850544
"ACSM3",3825.58643006395,2183.32821850544
"ACSS1",2275.58643006395,-3477.67178149456
"ACSS2",1971.58643006395,-1016.67178149456
"ACTB",-2593.41356993605,-30.671781494555
"ACTBP11",-2720.41356993605,3434.32821850544
"ACTBP2",-7743.41356993605,3864.32821850544
"ACTG1",-825.413569936049,825.328218505445
"ACTN4",1081.58643006395,-3871.67178149456
"ACTR3",-1669.41356993605,1757.32821850544
"ACVR1",1888.58643006395,684.328218505445
"ACVR1B",-2211.41356993605,4119.32821850544
"ACVR2A",-2107.41356993605,2879.32821850544
"ACVR2B",4162.58643006395,589.328218505445
"ACYP1",3793.58643006395,-1368.67178149456
"ADA",-1977.41356993605,1325.32821850544
"ADA2",-1003.41356993605,-2030.67178149456
"ADAM10",2387.58643006395,1468.32821850544
"ADAM11",-885.413569936049,1757.32821850544
"ADAM15",343.586430063951,-3051.67178149456
"ADAM17",-1589.41356993605,3146.32821850544
"ADAM19",-2554.41356993605,-840.671781494555
"ADAM28",-3.41356993604859,-1780.67178149456
"ADAMDEC1",-3039.41356993605,-561.671781494555
"ADAMTS10",3076.58643006395,54.328218505445
"ADAMTS14",-3548.41356993605,1563.32821850544
"ADAMTSL4",1321.58643006395,-2166.67178149456
"ADAMTSL4-AS1",-4369.41356993605,1066.32821850544
"ADAMTSL4-AS2",-3433.41356993605,2430.32821850544
"ADAP1",-3350.41356993605,-442.671781494555
"ADAP2",2576.58643006395,-1374.67178149456
"ADAR",-1852.41356993605,-702.671781494555
"ADARB1",-1994.41356993605,-468.671781494555
"ADCK1",3840.58643006395,-513.671781494555
"ADCK5",2154.58643006395,-2620.67178149456
"ADCY3",505.586430063951,2793.32821850544
"ADCY6",1532.58643006395,1740.32821850544
"ADCY7",-292.413569936049,-1158.67178149456
"ADD3",1207.58643006395,-3436.67178149456
"ADGRA2",-329.413569936049,1948.32821850544
"ADGRA3",901.586430063951,1940.32821850544
"ADGRD1",3153.58643006395,-2366.67178149456
"ADGRE1",-3049.41356993605,918.328218505445
"ADGRE2",-2990.41356993605,954.328218505445
"ADGRE3",3457.58643006395,-2996.67178149456
"ADGRE4P",2365.58643006395,-3132.67178149456
"ADGRE5",-2555.41356993605,-2245.67178149456
"ADH5",1552.58643006395,-759.671781494555
"ADIPOR1",1142.58643006395,2289.32821850544
"ADK",3075.58643006395,-2207.67178149456
"ADM",-2762.41356993605,1229.32821850544
"ADNP2",-1472.41356993605,2171.32821850544
"ADO",2532.58643006395,1764.32821850544
"ADORA2A",-2135.41356993605,1583.32821850544
"ADORA3",1814.58643006395,-1376.67178149456
"ADPGK",-2270.41356993605,-624.671781494555
"ADPGK-AS1",-4835.41356993605,1488.32821850544
"ADPRH",-1552.41356993605,8.32821850544497
"ADPRHL2",-1920.41356993605,-54.671781494555
"ADPRM",-2767.41356993605,725.328218505445
"ADRM1",-2866.41356993605,2202.32821850544
"ADSL",-2835.41356993605,2487.32821850544
"ADTRP",-202.413569936049,2903.32821850544
"AEBP1",1395.58643006395,2214.32821850544
"AEBP2",-2405.41356993605,2456.32821850544
"AEN",-1729.41356993605,2537.32821850544
"AF117829.1",-2068.41356993605,2699.32821850544
"AFAP1",-1432.41356993605,-1648.67178149456
"AFF1",-29.4135699360486,-1139.67178149456
"AFG3L2",-1246.41356993605,4175.32821850544
"AGA",-72.4135699360486,-2445.67178149456
"AGFG2",196.586430063951,-1748.67178149456
"AGGF1",2332.58643006395,-2979.67178149456
"AGK",-1612.41356993605,1307.32821850544
"AGL",1768.58643006395,-3212.67178149456
"AGO1",2590.58643006395,-1888.67178149456
"AGO2",-452.413569936049,2135.32821850544
"AGO4",1565.58643006395,-1822.67178149456
"AGPAT1",2523.58643006395,-1050.67178149456
"AGPAT2",2067.58643006395,-764.671781494555
"AGPAT4",-298.413569936049,2025.32821850544
"AGRN",-2257.41356993605,-696.671781494555
"AHCTF1",264.586430063951,2839.32821850544
"AHCY",1656.58643006395,2305.32821850544
"AHCYL2",1672.58643006395,-435.671781494555
"AHDC1",2110.58643006395,1558.32821850544
"AHSA1",-2223.41356993605,2411.32821850544
"AHSA2P",1288.58643006395,-3238.67178149456
"AIDA",-2105.41356993605,-486.671781494555
"AIF1",-147.413569936049,-1503.67178149456
"AIFM2",-2761.41356993605,1454.32821850544
"AIFM3",1773.58643006395,-3840.67178149456
"AIM2",-1491.41356993605,-1235.67178149456
"AIMP2",-1191.41356993605,2567.32821850544
"AIP",1353.58643006395,-1090.67178149456
"AK4",-1691.41356993605,2297.32821850544
"AK4P1",-2517.41356993605,1826.32821850544
"AK6",-696.413569936049,1464.32821850544
"AKAP1",-668.413569936049,6149.32821850544
"AKAP11",3000.58643006395,-1523.67178149456
"AKAP13",1667.58643006395,-1804.67178149456
"AKAP7",-1772.41356993605,-2260.67178149456
"AKIP1",1452.58643006395,-1948.67178149456
"AKIRIN1",-2199.41356993605,3389.32821850544
"AKNA",698.586430063951,-2246.67178149456
"AKR7A2",1076.58643006395,-1552.67178149456
"AKT1",1649.58643006395,-2092.67178149456
"AKT1S1",-2902.41356993605,-324.671781494555
"AKT3",-1577.41356993605,1343.32821850544
"AKTIP",3109.58643006395,-1847.67178149456
"AL021155.5",-2356.41356993605,3557.32821850544
"AL021368.2",2263.58643006395,-3250.67178149456
"AL021707.3",-2420.41356993605,-444.671781494555
"AL021707.6",-2805.41356993605,-493.671781494555
"AL021978.1",4690.58643006395,2337.32821850544
"AL031123.1",1962.58643006395,-1592.67178149456
"AL031123.5",2205.58643006395,-836.671781494555
"AL031432.4",-2415.41356993605,-2906.67178149456
"AL031587.5",-2941.41356993605,1565.32821850544
"AL031590.1",-2650.41356993605,2504.32821850544
"AL031595.3",-603.413569936049,1536.32821850544
"AL031658.1",-967.413569936049,769.328218505445
"AL031985.1",-1704.41356993605,-1710.67178149456
"AL033543.1",-2419.41356993605,3282.32821850544
"AL034397.3",2705.58643006395,83.328218505445
"AL035587.1",3203.58643006395,-1107.67178149456
"AL078604.2",-3857.41356993605,3472.32821850544
"AL109615.2",-2461.41356993605,3941.32821850544
"AL109627.1",3532.58643006395,-2735.67178149456
"AL109920.1",-7296.41356993605,3981.32821850544
"AL117335.1",-3900.41356993605,2503.32821850544
"AL118516.1",2730.58643006395,6957.32821850544
"AL121603.2",-2729.41356993605,367.328218505445
"AL121935.3",-1746.41356993605,-495.671781494555
"AL121985.1",-2123.41356993605,23.328218505445
"AL133330.1",-2031.41356993605,2357.32821850544
"AL133371.2",1630.58643006395,-723.671781494555
"AL135818.1",779.586430063951,5438.32821850544
"AL136295.2",-1472.41356993605,-675.671781494555
"AL137127.1",-3672.41356993605,3794.32821850544
"AL138724.2",-2970.41356993605,1908.32821850544
"AL138955.1",-869.413569936049,1555.32821850544
"AL139095.2",-7585.41356993605,4325.32821850544
"AL139246.2",395.586430063951,1828.32821850544
"AL139801.1",-1780.41356993605,-36.671781494555
"AL157813.1",2004.58643006395,-980.671781494555
"AL158050.1",-966.413569936049,821.328218505445
"AL160272.1",-1587.41356993605,-2826.67178149456
"AL161785.1",1580.58643006395,-3447.67178149456
"AL161787.1",-723.413569936049,15.328218505445
"AL162424.1",1784.58643006395,-1822.67178149456
"AL162431.1",3078.58643006395,-2503.67178149456
"AL162586.1",-2012.41356993605,359.328218505445
"AL162595.1",-647.413569936049,6920.32821850544
"AL353608.3",-1750.41356993605,-333.671781494555
"AL353611.1",2480.58643006395,136.328218505445
"AL353763.2",2607.58643006395,-1464.67178149456
"AL353795.3",-3673.41356993605,-965.671781494555
"AL353801.3",-3340.41356993605,-100.671781494555
"AL353807.5",-2034.41356993605,-2424.67178149456
"AL354714.2",-3428.41356993605,1761.32821850544
"AL355304.1",-2861.41356993605,1457.32821850544
"AL355336.2",1527.58643006395,-813.671781494555
"AL355388.1",-1754.41356993605,-423.671781494555
"AL356124.1",1888.58643006395,-214.671781494555
"AL357033.3",-1318.41356993605,345.328218505445
"AL357033.4",-1466.41356993605,-27.671781494555
"AL357054.4",-1690.41356993605,-855.671781494555
"AL359183.1",2318.58643006395,528.328218505445
"AL365203.2",2581.58643006395,1195.32821850544
"AL365361.1",-1164.41356993605,-1556.67178149456
"AL365434.2",-1712.41356993605,605.328218505445
"AL390066.2",-1655.41356993605,4126.32821850544
"AL390719.1",-1526.41356993605,4104.32821850544
"AL390728.4",-1486.41356993605,-332.671781494555
"AL390760.1",-1456.41356993605,803.328218505445
"AL391280.2",882.586430063951,-1491.67178149456
"AL391684.1",-20.4135699360486,-3834.67178149456
"AL441992.2",363.586430063951,-2351.67178149456
"AL442067.3",3557.58643006395,-923.671781494555
"AL445524.1",-746.413569936049,793.328218505445
"AL451123.1",-2905.41356993605,1080.32821850544
"AL590068.1",-3073.41356993605,675.328218505445
"AL590764.1",1458.58643006395,-2913.67178149456
"AL590867.2",-10597.413569936,3742.32821850544
"AL603783.1",2349.58643006395,4679.32821850544
"AL663070.2",-3028.41356993605,2325.32821850544
"AL671277.1",-864.413569936049,-217.671781494555
"AL844908.1",5011.58643006395,517.328218505445
"ALAD",2279.58643006395,-584.671781494555
"ALCAM",-1946.41356993605,1181.32821850544
"ALDH16A1",508.586430063951,-1057.67178149456
"ALDH18A1",-676.413569936049,3610.32821850544
"ALDH1A2",2251.58643006395,3699.32821850544
"ALDH1B1",-2618.41356993605,1391.32821850544
"ALDH2",-263.413569936049,-1716.67178149456
"ALDH3A2",2781.58643006395,-1492.67178149456
"ALDH3B1",1924.58643006395,-728.671781494555
"ALDH4A1",2506.58643006395,1001.32821850544
"ALDH6A1",1259.58643006395,-2562.67178149456
"ALG11",-3701.41356993605,1190.32821850544
"ALG12",2480.58643006395,-942.671781494555
"ALG2",-1786.41356993605,557.328218505445
"ALG6",2143.58643006395,-746.671781494555
"ALKBH2",-1220.41356993605,3752.32821850544
"ALKBH5",2294.58643006395,-476.671781494555
"ALKBH6",3684.58643006395,-722.671781494555
"ALMS1",1268.58643006395,-2994.67178149456
"ALOX15B",-3878.41356993605,128.328218505445
"ALOX5",1059.58643006395,-2394.67178149456
"ALPK1",1136.58643006395,-726.671781494555
"ALPK2",-1628.41356993605,-2480.67178149456
"ALS2CL",-2483.41356993605,941.328218505445
"ALYREF",-1916.41356993605,2825.32821850544
"AMBRA1",-1763.41356993605,-702.671781494555
"AMD1",-3106.41356993605,603.328218505445
"AMDHD2",1893.58643006395,-3032.67178149456
"AMER1",-895.413569936049,-748.671781494555
"AMIGO2",-2481.41356993605,581.328218505445
"AMMECR1L",-1753.41356993605,3071.32821850544
"AMPD2",2974.58643006395,-2797.67178149456
"AMPD3",-1443.41356993605,3535.32821850544
"AMY2B",561.586430063951,-3009.67178149456
"AMZ2",-452.413569936049,-1592.67178149456
"ANG",867.586430063951,-3024.67178149456
"ANGEL1",3070.58643006395,-1919.67178149456
"ANGPT1",1336.58643006395,2607.32821850544
"ANK1",1707.58643006395,4026.32821850544
"ANK3",-2369.41356993605,-1679.67178149456
"ANKFY1",-2077.41356993605,-864.671781494555
"ANKH",625.586430063951,-2519.67178149456
"ANKLE1",3696.58643006395,2791.32821850544
"ANKLE2",-2499.41356993605,2024.32821850544
"ANKMY1",3271.58643006395,-1604.67178149456
"ANKMY2",2229.58643006395,-1952.67178149456
"ANKRD1",-273.413569936049,2692.32821850544
"ANKRD13D",2101.58643006395,-1052.67178149456
"ANKRD22",-1983.41356993605,-1314.67178149456
"ANKRD33B",-1931.41356993605,893.328218505445
"ANKRD42",2353.58643006395,-350.671781494555
"ANKRD44",571.586430063951,-2094.67178149456
"ANKRD50",2180.58643006395,-1430.67178149456
"ANKS1A",1614.58643006395,-2020.67178149456
"ANKZF1",2262.58643006395,-2584.67178149456
"ANLN",2299.58643006395,1867.32821850544
"ANO5",-1300.41356993605,-1722.67178149456
"ANO6",-3005.41356993605,45.328218505445
"ANO8",1578.58643006395,-1016.67178149456
"ANO9",-3337.41356993605,3349.32821850544
"ANOS1",-1096.41356993605,-2181.67178149456
"ANP32A",3329.58643006395,-310.671781494555
"ANP32B",367.586430063951,2108.32821850544
"ANP32E",774.586430063951,-3393.67178149456
"ANTXR2",-2247.41356993605,647.328218505445
"ANXA1",47.5864300639514,-1450.67178149456
"ANXA11",3318.58643006395,89.328218505445
"ANXA2R",-1428.41356993605,-1957.67178149456
"ANXA3",1259.58643006395,1880.32821850544
"ANXA5",-2205.41356993605,1853.32821850544
"ANXA6",-823.413569936049,-332.671781494555
"ANXA7",-1584.41356993605,1199.32821850544
"AOAH",-2455.41356993605,-2273.67178149456
"AOAH-IT1",-3167.41356993605,-880.671781494555
"AOC1",-1795.41356993605,-2341.67178149456
"AP000331.1",-31.4135699360486,2272.32821850544
"AP000640.2",-3139.41356993605,747.328218505445
"AP000873.4",-834.413569936049,1334.32821850544
"AP000919.4",-2543.41356993605,-660.671781494555
"AP000944.7",-3030.41356993605,2076.32821850544
"AP001000.1",-2373.41356993605,851.328218505445
"AP001062.1",-967.413569936049,4048.32821850544
"AP001107.9",-4362.41356993605,-263.671781494555
"AP001189.1",-1658.41356993605,-2304.67178149456
"AP001434.1",1743.58643006395,-2942.67178149456
"AP002381.2",2551.58643006395,65.328218505445
"AP002784.1",-2196.41356993605,275.328218505445
"AP002807.1",2987.58643006395,-598.671781494555
"AP002954.1",163.586430063951,-3770.67178149456
